Iteration	Posterior	Likelihood	Prior	alpha_morpho	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
1920	-1254.563	-1229.26	-25.30339	3.604578	0.431226	0.76032	1.08422	1.72423	5.116907
1930	-1263.605	-1240.792	-22.81245	1162.196	0.962964	0.990232	1.00928	1.03753	4.867813
1940	-1246.669	-1225.307	-21.36181	9.207008	0.617608	0.864389	1.07398	1.44402	4.722749
1950	-1256.526	-1234.731	-21.7951	4.823748	0.494589	0.799611	1.0836	1.6222	4.766077
1960	-1249.6	-1229.284	-20.31551	5.529843	0.522699	0.815641	1.08228	1.57938	4.618119
1970	-1263.917	-1241.372	-22.54509	3.886079	0.447992	0.771175	1.0844	1.69643	4.841076
1980	-1244.948	-1228.765	-16.18282	3.410216	0.418702	0.751978	1.08391	1.74541	4.20485
1990	-1262.71	-1239.258	-23.45166	4.174041	0.463675	0.78102	1.08434	1.67097	4.931733
2000	-1256.72	-1232.882	-23.83784	19.15422	0.726342	0.91168	1.05858	1.3034	4.970352
2010	-1259.858	-1235.877	-23.98099	6.812965	0.563487	0.83755	1.07939	1.51957	4.984667
2020	-1254.619	-1235.947	-18.67161	5.230536	0.511379	0.809282	1.08288	1.59646	4.453729
2030	-1250.312	-1230.098	-20.21389	1.86826	0.277025	0.640231	1.06631	2.01643	4.607957
2040	-1254.803	-1234.081	-20.72203	2.59433	0.355221	0.706267	1.07962	1.85889	4.658771
2050	-1259.425	-1238.733	-20.69149	1.693643	0.253747	0.617907	1.06002	2.06832	4.655717
2060	-1245.691	-1228.242	-17.44964	2.611305	0.356762	0.70745	1.07979	1.856	4.331532
2070	-1253.866	-1232.76	-21.10568	5.811987	0.532666	0.821138	1.08167	1.56452	4.697136
2080	-1255.001	-1236.637	-18.36392	1.701571	0.25485	0.618998	1.06035	2.0658	4.42296
2090	-1259.911	-1239.16	-20.75111	3.923404	0.450104	0.772518	1.08441	1.69297	4.661679
2100	-1261.449	-1241.07	-20.37879	1.495961	0.224698	0.587883	1.05018	2.13724	4.624447
2110	-1255.734	-1236.654	-19.07949	683.6403	0.951812	0.987168	1.012	1.04902	4.494517
2120	-1256.162	-1240.208	-15.95365	3948108	0.99936	0.999837	1.00016	1.00064	4.181933
2130	-1270.863	-1246.333	-24.52976	5.218212e+07	0.999824	0.999955	1.00004	1.00018	5.039544
2140	-1258.052	-1237.95	-20.10169	2.192744e+07	0.999729	0.999931	1.00007	1.00027	4.596737
2150	-1248.123	-1233.438	-14.68492	9.629842e+07	0.99987	0.999967	1.00003	1.00013	4.05506
2160	-1257.156	-1243.202	-13.95366	8.909657e+07	0.999865	0.999966	1.00003	1.00013	3.981933
2170	-1257.654	-1237.999	-19.65525	9.752432e+07	0.999871	0.999967	1.00003	1.00013	4.552092
2180	-1253.675	-1238.812	-14.8634	3.838996e+07	0.999795	0.999948	1.00005	1.00021	4.072908
2190	-1253.583	-1234.587	-18.99617	4.613797e+07	0.999813	0.999952	1.00005	1.00019	4.486185
2200	-1260.939	-1241.806	-19.13313	3.242917e+07	0.999777	0.999943	1.00006	1.00022	4.499881
2210	-1255.805	-1235.576	-20.22904	9.112473e+07	0.999867	0.999967	1.00003	1.00013	4.609472
2220	-1257.862	-1235.799	-22.06309	5.639616e+07	0.999831	0.999957	1.00004	1.00017	4.792877
2230	-1256.993	-1237.726	-19.26676	5.119049e+07	0.999822	0.999955	1.00005	1.00018	4.513244
2240	-1251.488	-1233.163	-18.32491	4.26808e+07	0.999806	0.99995	1.00005	1.00019	4.419059
2250	-1258.711	-1237.445	-21.26646	5.142986e+07	0.999823	0.999955	1.00004	1.00018	4.713214
2260	-1253.164	-1237.301	-15.86292	2.674874e+07	0.999754	0.999937	1.00006	1.00025	4.17286
2270	-1262.264	-1237.208	-25.05664	3644868	0.999334	0.99983	1.00017	1.00067	5.092231
2280	-1265.727	-1245.689	-20.03745	5.113218e+07	0.999822	0.999954	1.00005	1.00018	4.590312
2290	-1252.381	-1235.862	-16.51907	3.315628e+07	0.999779	0.999944	1.00006	1.00022	4.238475
2300	-1248.418	-1230.561	-17.8569	9.109112e+07	0.999867	0.999967	1.00003	1.00013	4.372257
2310	-1257.135	-1238.248	-18.88785	3.429378e+07	0.999783	0.999944	1.00006	1.00022	4.475353
2320	-1259.026	-1236.429	-22.59717	7.24004e+07	0.999851	0.999962	1.00004	1.00015	4.846285
2330	-1258.95	-1240.636	-18.31317	6.705603e+07	0.999845	0.99996	1.00004	1.00016	4.417885
2340	-1254.432	-1234.158	-20.27375	9.03795e+07	0.999866	0.999966	1.00003	1.00013	4.613942
2350	-1260.298	-1244.153	-16.14572	6.923049e+07	0.999847	0.999961	1.00004	1.00015	4.20114
2360	-1253.623	-1230.826	-22.79703	2.703528e+07	0.999756	0.999938	1.00006	1.00024	4.866271
